Name,NPC,Rarity,Source,img URL,#
Lucid Galactic Eyes Ruby,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/71-vy9Q2LyDmD-lucid-galactic-eyes-ruby.png,71
Lucid Galactic Eyes Emerald,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/72-P08GogdzQ9-lucid-galactic-eyes-emerald.png,72
Lucid Galactic Eyes Silver,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/73-hIDCWisoY6-lucid-galactic-eyes-silver.png,73
Lucid Galactic Eyes Sapphire,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/74-pEWTHorTWy-lucid-galactic-eyes-sapphire.png,74
Galactic Long Curls Blue,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/75-EDcsw1g0Ww-galactic-long-curls-blue.png,75
Galactic Long Curls Magenta,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/76-MgVBLgW2ZQ-galactic-long-curls-magenta.png,76
Galactic Long Curls Silver,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/77-oG5T0zNsbb-galactic-long-curls-silver.png,77
Galactic Cloud Bob Silver,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/78-kBY07b3c7W-galactic-cloud-bob-silver.png,78
Galactic Cloud Bob Magenta,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/79-Qknb0flWbz-galactic-cloud-bob-magenta.png,79
Galactic Cloud Bob Blue,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/80-TuJoTosXbO-galactic-cloud-bob-blue.png,80
Fanged Galactic Mouth,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/81-x0lzgW9oju-fanged-galactic-mouth.png,81
Galactic Skin Storm,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/82-gBA1cwh20t-galactic-skin-storm.png,82
Galactic Skin Nebula,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/83-COwiEhhwQr-galactic-skin-nebula.png,83
Galactic Skin Dawn,Andromeda,Common,Peddler's Port,https://dappervolk.com/img/items/0/84-34OiORAPyR-galactic-skin-dawn.png,84
Newbie Toeless Socks,Nico,Common,Peddler's Port,https://dappervolk.com/img/items/0/85-xxgwVsFpKC-newbie-toeless-socks.png,85
Newbie High Waisted Shorts,Nico,Common,Peddler's Port,https://dappervolk.com/img/items/0/86-zgAcKXlHbm-newbie-high-waisted-shorts.png,86
Newbie Puffy Sleeve Top,Nico,Common,Peddler's Port,https://dappervolk.com/img/items/0/87-Gw61BgPljw-newbie-puffy-sleeve-top.png,87
Newbie Bandage Trousers,Nico,Common,Peddler's Port,https://dappervolk.com/img/items/0/88-aUFhBavrDA-newbie-bandage-trousers.png,88
Newbie Bandage Shoes,Nico,Common,Peddler's Port,https://dappervolk.com/img/items/0/89-QvnoEQFBfg-newbie-bandage-shoes.png,89
Newbie Puffy Shorts,Nico,Common,Peddler's Port,https://dappervolk.com/img/items/0/90-XcfmAMa70e-newbie-puffy-shorts.png,90
Newbie Leather Tank,Nico,Common,Peddler's Port,https://dappervolk.com/img/items/0/91-OBKGntgldS-newbie-leather-tank.png,91
Newbie Stitched Tunic,Nico,Common,Peddler's Port,https://dappervolk.com/img/items/0/92-FSBSxt8hSK-newbie-stitched-tunic.png,92
Newbie Leather Boots,Nico,Common,Peddler's Port,https://dappervolk.com/img/items/0/93-ZtaxFG3X4j-newbie-leather-boots.png,93
Bearnard's Farming Gloves,Bearnard,Common,Louise Hill,https://dappervolk.com/img/items/0/94-AXtxj0weUz-bearnards-farming-gloves.png,94
Bearnard's Farming Shirt,Bearnard,Common,Louise Hill,https://dappervolk.com/img/items/0/95-3okBbKEtMh-bearnards-farming-shirt.png,95
Bearnard's Farming Shoes,Bearnard,Common,Louise Hill,https://dappervolk.com/img/items/0/96-Pe8PTaPtnu-bearnards-farming-shoes.png,96
Bearnard's Farming Overalls,Bearnard,Common,Louise Hill,https://dappervolk.com/img/items/0/97-mGH1k4MJ6n-bearnards-farming-overalls.png,97
Bearnard's Sun Hat,Bearnard,Common,Louise Hill,https://dappervolk.com/img/items/0/98-Xxz5iFexag-bearnards-sun-hat.png,98
Buli's Mysterious Dress,Buli,Common,Louise Hill,https://dappervolk.com/img/items/0/99-TWHjUPz2ig-bulis-mysterious-dress.png,99
Buli's Hairstyle,Buli,Common,Louise Hill,https://dappervolk.com/img/items/0/100-ZfgegaARwH-bulis-hairstyle.png,100
Buli's Magic Pots,Buli,Common,Louise Hill,https://dappervolk.com/img/items/0/101-vVwjQWWbro-bulis-magic-pots.png,101
Calbet's Archery Boots,Calbet,Common,Louise Hill,https://dappervolk.com/img/items/0/102-gBJYmGYtia-calbets-archery-boots.png,102
Calbet's Training Bow,Calbet,Common,Louise Hill,https://dappervolk.com/img/items/0/103-6FjpTPNss1-calbets-training-bow.png,103
Calbet's Hairstyle,Calbet,Common,Louise Hill,https://dappervolk.com/img/items/0/104-1fujfc3N4l-calbets-hairstyle.png,104
Calbet's Pantaloons,Calbet,Common,Louise Hill,https://dappervolk.com/img/items/0/105-X3BWunuZZf-calbets-pantaloons.png,105
Calbet's Training Quiver,Calbet,Common,Louise Hill,https://dappervolk.com/img/items/0/106-xixQRnrw7u-calbets-training-quiver.png,106
Calbet's Armour,Calbet,Common,Louise Hill,https://dappervolk.com/img/items/0/107-NFaBnoc03p-calbets-armour.png,107
Not A Wizard Robe Drapings,Old Farmhand,Common,Louise Hill,https://dappervolk.com/img/items/0/108-vmltLX3fl1-not-a-wizard-robe-drapings.png,108
Not A Wizard Hairstyle,Old Farmhand,Common,Louise Hill,https://dappervolk.com/img/items/0/109-tHxwCAYW3r-not-a-wizard-hairstyle.png,109
Not A Wizard Hat,Old Farmhand,Common,Louise Hill,https://dappervolk.com/img/items/0/110-6a3NokVgcg-not-a-wizard-hat.png,110
Not Wizard Keys,Old Farmhand,Common,Louise Hill,https://dappervolk.com/img/items/0/111-WCvjUtVJoF-not-wizard-keys.png,111
Not A Wizard Robe Top,Old Farmhand,Common,Louise Hill,https://dappervolk.com/img/items/0/112-zc3kAQ4a4L-not-a-wizard-robe-top.png,112
Not A Wizard Wand,Old Farmhand,Common,Louise Hill,https://dappervolk.com/img/items/0/113-vpncumivwP-not-a-wizard-wand.png,113
Lilia's Gauntlets,Lilia,Common,Louise Hill,https://dappervolk.com/img/items/0/114-Mxb5fdsWW0-lilias-gauntlets.png,114
Lilia's Hairstyle,Lilia,Common,Louise Hill,https://dappervolk.com/img/items/0/115-UqWSHZ0tg8-lilias-hairstyle.png,115
Lilia's Training Lances,Lilia,Common,Louise Hill,https://dappervolk.com/img/items/0/116-evfLsO52Cl-lilias-training-lances.png,116
Lilia's Soldier Leggings,Lilia,Common,Louise Hill,https://dappervolk.com/img/items/0/117-eXw8PlclFN-lilias-soldier-leggings.png,117
Lilia's Battle Tiara,Lilia,Common,Louise Hill,https://dappervolk.com/img/items/0/118-eIww8YTrn3-lilias-battle-tiara.png,118
Lilia's Training Armor,Lilia,Common,Louise Hill,https://dappervolk.com/img/items/0/119-DnzqK2g8Rp-lilias-training-armor.png,119
Fantasia's Rogue Boots,Fantasia,Common,Louise Hill,https://dappervolk.com/img/items/0/120-YcDCFK7hb8-fantasias-rogue-boots.png,120
Fantasia's Eyepatch,Fantasia,Common,Louise Hill,https://dappervolk.com/img/items/0/121-BgkqJMQ6VM-fantasias-eyepatch.png,121
Fantasia's Dagger Gloves,Fantasia,Common,Louise Hill,https://dappervolk.com/img/items/0/122-TpzPnvDl1w-fantasias-dagger-gloves.png,122
Fantasia's Hairstyle,Fantasia,Common,Louise Hill,https://dappervolk.com/img/items/0/123-rFGECfk524-fantasias-hairstyle.png,123
Fantasia's Fox Tail,Fantasia,Common,Louise Hill,https://dappervolk.com/img/items/0/124-4CrVzboBN1-fantasias-fox-tail.png,124
Fantasia's Training Shirt,Fantasia,Common,Louise Hill,https://dappervolk.com/img/items/0/125-ZX21doTCR8-fantasias-training-shirt.png,125
Trout's Hairstyle,Trout,Common,3's Forest,https://dappervolk.com/img/items/0/126-jUJDUgSh0Z-trouts-hairstyle.png,126
Trout's Shoes,Trout,Common,3's Forest,https://dappervolk.com/img/items/0/127-hkDArQDnUs-trouts-shoes.png,127
Trout's Puffy Shorts,Trout,Common,3's Forest,https://dappervolk.com/img/items/0/128-oITVWJsWxq-trouts-puffy-shorts.png,128
Trout's Spark,Trout,Common,3's Forest,https://dappervolk.com/img/items/0/129-OglsiNuVma-trouts-spark.png,129
Trout's Jacket,Trout,Common,3's Forest,https://dappervolk.com/img/items/0/130-IBglXT2bU7-trouts-jacket.png,130
Magdalene's Robes,Magdalene,Common,3's Forest,https://dappervolk.com/img/items/0/131-WhFzIuwPad-magdalenes-robes.png,131
Magdalene's Cape,Magdalene,Common,3's Forest,https://dappervolk.com/img/items/0/132-vcoceHOEyG-magdalenes-cape.png,132
Magdalene's Apprentice Lamp,Magdalene,Common,3's Forest,https://dappervolk.com/img/items/0/133-MoYvb2BQ0J-magdalenes-apprentice-lamp.png,133
Magdalene's Shoes,Magdalene,Common,3's Forest,https://dappervolk.com/img/items/0/134-hMDrSC5mtX-magdalenes-shoes.png,134
Magdalene's Sleeves,Magdalene,Common,3's Forest,https://dappervolk.com/img/items/0/135-wzqx2BP6B0-magdalenes-sleeves.png,135
Irin's Hairstyle,Irin,Common,3's Forest,https://dappervolk.com/img/items/0/136-9GjYeg3PDP-irins-hairstyle.png,136
Irin's Floral Pants,Irin,Common,3's Forest,https://dappervolk.com/img/items/0/137-cokGdK21M7-irins-floral-pants.png,137
Irin's Succulent Hair Clips,Irin,Common,3's Forest,https://dappervolk.com/img/items/0/138-qvAiqw5FEZ-irins-succulent-hair-clips.png,138
Irin's Jacket,Irin,Common,3's Forest,https://dappervolk.com/img/items/0/139-VAtQDAVz5q-irins-jacket.png,139
Irin's Pixie Wings,Irin,Common,3's Forest,https://dappervolk.com/img/items/0/140-PsukZVGtgB-irins-pixie-wings.png,140
Barclay's Belts,Barclay,Common,3's Forest,https://dappervolk.com/img/items/0/141-9k5klbQpGE-barclays-belts.png,141
Barclay's Ragged Cape,Barclay,Common,3's Forest,https://dappervolk.com/img/items/0/142-KmzFBZhMLv-barclays-ragged-cape.png,142
Barclay's Indignance,Barclay,Common,3's Forest,https://dappervolk.com/img/items/0/143-GXemgEXq3b-barclays-indignance.png,143
Barclay's Garland,Barclay,Common,3's Forest,https://dappervolk.com/img/items/0/144-JiOuqclkMR-barclays-garland.png,144
Barclay's Flower Mantle,Barclay,Common,3's Forest,https://dappervolk.com/img/items/0/145-lNPqwlLjfs-barclays-flower-mantle.png,145
Barclay's Hairstyle,Barclay,Common,3's Forest,https://dappervolk.com/img/items/0/146-iQbFW1SeWy-barclays-hairstyle.png,146
Barclay's Lip,Barclay,Common,3's Forest,https://dappervolk.com/img/items/0/147-lxXtcMVwmk-barclays-lip.png,147
Barclay's Trousers,Barclay,Common,3's Forest,https://dappervolk.com/img/items/0/148-gALjt57YJK-barclays-trousers.png,148
Barclay's Sweater,Barclay,Common,3's Forest,https://dappervolk.com/img/items/0/149-hTAWfXHxzb-barclays-sweater.png,149
Mycel's Mycology Basket,Mycel,Common,3's Forest,https://dappervolk.com/img/items/0/150-epyrmBKgfr-mycels-mycology-basket.png,150
Mycel's Herbal Pouch,Mycel,Common,3's Forest,https://dappervolk.com/img/items/0/151-mPL96BXuOh-mycels-herbal-pouch.png,151
Mycel's Swamp Dress,Mycel,Common,3's Forest,https://dappervolk.com/img/items/0/152-hBgiwfQaRG-mycels-swamp-dress.png,152
Mycel's Suspicion,Mycel,Common,3's Forest,https://dappervolk.com/img/items/0/153-iQBFU1d0EC-mycels-suspicion.png,153
Mycel's Glowshroom Circle,Mycel,Common,3's Forest,https://dappervolk.com/img/items/0/154-Wxf7wLJQRN-mycels-glowshroom-circle.png,154
Mycel's Hairstyle,Mycel,Common,3's Forest,https://dappervolk.com/img/items/0/155-63gE6vWgjb-mycels-hairstyle.png,155
Mycel's Head Fungi,Mycel,Common,3's Forest,https://dappervolk.com/img/items/0/156-rLRsZsvAWH-mycels-head-fungi.png,156
Mycel's Lip,Mycel,Common,3's Forest,https://dappervolk.com/img/items/0/157-zeKu2ZiAZ8-mycels-lip.png,157
Mycel's Staff,Mycel,Common,3's Forest,https://dappervolk.com/img/items/0/158-OouPRljrAR-mycels-staff.png,158
Glume's Bone Dress,Glume,Common,3's Forest,https://dappervolk.com/img/items/0/159-brJokRRL1g-glumes-bone-dress.png,159
Glume's Rose Eyepatch,Glume,Common,3's Forest,https://dappervolk.com/img/items/0/160-JMQQY5tFx2-glumes-rose-eyepatch.png,160
Glume's Ferocity,Glume,Common,3's Forest,https://dappervolk.com/img/items/0/161-dlH2aHOly2-glumes-ferocity.png,161
Glume's Hairstyle,Glume,Common,3's Forest,https://dappervolk.com/img/items/0/162-nJEqiSYIqj-glumes-hairstyle.png,162
Glume's Lace Headdress,Glume,Common,3's Forest,https://dappervolk.com/img/items/0/163-SbwR1eM9Le-glumes-lace-headdress.png,163
Glume's Lip,Glume,Common,3's Forest,https://dappervolk.com/img/items/0/164-kiJ2gG6tQh-glumes-lip.png,164
Glume's Thorn Pouch,Glume,Common,3's Forest,https://dappervolk.com/img/items/0/165-e3L3JNqWoX-glumes-thorn-pouch.png,165
Glume's Loop Scarf,Glume,Common,3's Forest,https://dappervolk.com/img/items/0/166-isstUZc5dQ-glumes-loop-scarf.png,166
Glume's Vine Shoes,Glume,Common,3's Forest,https://dappervolk.com/img/items/0/167-5CYaOkpnqb-glumes-vine-shoes.png,167
Support Bun,n/a,Limited,Alpha,https://dappervolk.com/img/items/0/187-qdskZRgnJU-support-bun.png,187
Support Axe,n/a,Limited,Alpha,https://dappervolk.com/img/items/0/188-PRy7azr127-support-axe.png,188
Winter Fox,n/a,Seasonal,Event,https://dappervolk.com/img/items/0/189-WSrFQMx4Zr-winter-fox.png,189
Mountain Cloak,n/a,Seasonal,Event,https://dappervolk.com/img/items/0/190-dOsu6n98Yf-mountain-cloak.png,190
Bearnard's Broom,Bearnard,Common,Louise Hill,https://dappervolk.com/img/items/0/193-Bx0vPAzcie-bearnards-broom.png,193
Aquarium Fish,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/205-RyhWjN5JVD-aquarium-fish.png,205
Aquarium Memory,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/206-MWP7OLx05w-aquarium-memory.png,206
Golden Aquarium Background,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/207-7dv9Q2FEmR-golden-aquarium-background.png,207
Golden Aquarium Skin,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/208-8jVKSYqDNO-golden-aquarium-skin.png,208
Golden Kelp Veil,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/209-9Tt32d7Rzd-golden-kelp-veil.png,209
Golden Sea Bob,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/210-ce3XyFLJVS-golden-sea-bob.png,210
Golden Sea Dress,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/211-tHuKUGa7GI-golden-sea-dress.png,211
Golden Sea Locks,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/212-uTkklVGJJv-golden-sea-locks.png,212
Golden Sea Pantaloons,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/213-A6mSBXKHn0-golden-sea-pantaloons.png,213
Golden Smile,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/214-K4vrZVqbbh-golden-smile.png,214
Obsidian Bob,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/220-Iyp8JAo9LS-obsidian-bob.png,220
Obsidian Boots,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/221-317RfUJNZa-obsidian-boots.png,221
Obsidian Cape,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/222-WWFHz6Orrs-obsidian-cape.png,222
Obsidian Dragon Tail,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/223-XnfBNSumb1-obsidian-dragon-tail.png,223
Obsidian Dragon Wings,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/224-yqY2DNx1nY-obsidian-dragon-wings.png,224
Obsidian Flowing Locks,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/225-MAFCnGGwa8-obsidian-flowing-locks.png,225
Obsidian Gem Horns,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/226-cn1jjk6YLk-obsidian-gem-horns.png,226
Obsidian Gem Tunic,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/227-o9Ej0OSKnZ-obsidian-gem-tunic.png,227
Obsidian Leer,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/228-ZaqLdOj8jC-obsidian-leer.png,228
Obsidian Lips,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/229-j3nqjNQs4z-obsidian-lips.png,229
Obsidian Skin,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/230-MMAlBi3EjD-obsidian-skin.png,230
Obsidian Sky Background,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/231-fpx0yt9bYE-obsidian-sky-background.png,231
Jeweled Bob,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/237-rGxPa3YtF4-jeweled-bob.png,237
Jeweled Braids,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/238-f5rFSMV11A-jeweled-braids.png,238
Jeweled Coat,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/239-NCOioM3XPu-jeweled-coat.png,239
Jeweled Gaze,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/240-0HLMEuknTG-jeweled-gaze.png,240
Jeweled Lips,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/241-aRcBPUy9DQ-jeweled-lips.png,241
Jeweled Sky Background,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/242-rNqwiHka4j-jeweled-sky-background.png,242
Jeweled Trousers,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/243-gLeXE9gmIY-jeweled-trousers.png,243
Jeweled Unicorn Crown,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/244-otMkJwPUPN-jeweled-unicorn-crown.png,244
Jeweled Unicorn Legs,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/245-EYb4Nhczqi-jeweled-unicorn-legs.png,245
Jeweled Unicorn Tail,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/246-pHHpNKfIby-jeweled-unicorn-tail.png,246
Jeweled Unicorn Wings,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/247-AwDywqHzW6-jeweled-unicorn-wings.png,247
Jeweled Wings Skin,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/248-pVISLQV0bc-jeweled-wings-skin.png,248
Gem Serpent,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/249-d6NLhRWDnh-gem-serpent.png,249
Gold Fish,n/a,Limited,Kickstarter,https://dappervolk.com/img/items/0/250-M5Om5NduTE-gold-fish.png,250
